lat,long,population,city_significance,zoom_level,national_significance
-30.2596142,-57.5999573,22723,7,8.0,20
-30.2500024,-54.9200175,36721,8,1.0,10
-30.2155859,-69.1399506,701,7,3.0,20
-30.1589999,27.4799975,24992,10,8.0,1
-30.1172669,28.7019995,25573,10,3.0,1
-30.1,145.9333333,2475,8,3.0,10
-30.0480688,-51.2019579,3917000,2,1.0,200
-30.0299642,-52.9099852,74694,8,1.0,10
-30.0294991,-70.7399821,13496,7,3.0,20
-29.9529146,-71.3436145,161317,7,3.0,20
-29.9199967,-51.1799874,600000,8,1.0,10
-29.8999979,-71.2499768,154521,4,3.0,50
-29.8799992,-50.2699913,34628,8,1.0,10
-29.86066234118211,31.01094366326237,2729000,2,3.0,200
-29.8166439,27.2500057,57059,6,8.0,30
-29.7696183,-57.0899884,123480,7,1.0,20
-29.7667761,151.1125744,8561,7,3.0,20
-29.7119991,152.9376827,9955,6,3.0,30
-29.7100354,-52.4400397,113625,8,1.0,10
-29.709622,-51.1399899,876990,7,1.0,20
-29.6833187,-53.8000084,249219,6,1.0,30
-29.6667305,17.8832906,10438,4,3.0,50
-29.6595475,22.7300232,11236,7,3.0,20
-29.6100415,30.3900207,750845,6,3.0,30
-29.533302,115.7499784,190,6,3.0,30
-29.469895,149.8300687,8203,6,3.0,30
-29.4661743,-60.2165935,9979,7,3.0,20
-29.4229914,153.353312,1806,7,3.0,20
-29.4099503,-66.8499612,162620,6,3.0,30
-29.3600309,-50.81001,60806,8,1.0,10
-29.3166744,27.4832731,361324,3,8.0,110
-29.291004,29.0780015,8809,10,8.0,1
-29.2828263,114.9166442,1213,7,3.0,20
-29.2465136,-177.9264115,0,8,8.0,10
-29.2162671,116.0000406,259,7,3.0,20
-29.1799902,-51.1700397,381270,4,1.0,50
-29.1795768,-58.0799797,30649,7,3.0,20
-29.1694999,-51.5199667,94271,7,1.0,20
-29.1655208,-67.499999,20343,7,3.0,20
-29.1529979,27.7530035,5115,10,8.0,1
-29.1399927,-59.2699846,72304,6,3.0,30
-29.1395276,-59.6500131,90184,7,3.0,20
-29.132913,19.383354,4220,7,3.0,20
-29.1199939,26.2299129,463064,3,3.0,110
-28.9400049,-49.4999866,43444,8,1.0,10
-28.8815071,121.3280358,227,6,3.0,30
-28.878003,28.0559976,47675,10,8.0,1
-28.8666243,-66.2333063,2572,8,3.0,10
-28.8613533,153.5679801,14242,7,3.0,20
-28.8166532,153.2931132,31430,6,3.0,30
-28.7666304,114.5999711,27258,4,3.0,50
-28.7499959,28.2500016,16330,10,8.0,1
-28.7468384,24.770002,165264,6,3.0,30
-28.6995544,26.4700016,12091,7,3.0,20
-28.6800207,-49.3899675,204217,6,1.0,30
-28.6596085,-56.0099768,59613,7,1.0,20
-28.656508,153.6128869,6764,7,3.0,20
-28.6495833,-65.1499874,13594,7,3.0,20
-28.6270007,122.4040425,316,6,3.0,30
-28.6083455,16.5033231,1500,6,3.0,30
-28.5700016,-70.7600068,44895,6,3.0,30
-28.5548087,150.325284,4251,6,3.0,30
-28.5494861,16.4299943,8496,7,6.0,20
-28.5494861,29.7800321,47375,7,3.0,20
-28.4996183,-50.9400021,56765,7,1.0,20
-28.4800329,-49.0200159,92275,8,1.0,10
-28.4800329,-48.7799789,39711,8,1.0,10
-28.4700077,-65.7800007,188812,6,3.0,30
-28.4695943,-71.2200045,2558,7,3.0,20
-28.466132,-62.8333071,14133,7,3.0,20
-28.4600342,21.2300114,71373,4,3.0,50
-28.4100114,-54.9599893,31798,8,1.0,10
-28.3895475,-53.9199494,71202,7,1.0,20
-28.3296028,31.4100101,20753,7,3.0,20
-28.3000439,-54.2800308,65420,8,1.0,10
-28.2900187,-52.8000436,59417,8,1.0,10
-28.2500211,-52.4199893,179529,6,1.0,30
-28.2296089,-48.660012,43450,7,1.0,20
-28.2292472,152.0203226,12347,7,3.0,20
-28.2195837,28.2999674,83654,7,3.0,20
-28.1825834,153.5466377,33065,7,3.0,20
-28.1200032,-58.7699893,47626,8,3.0,10
-28.0815043,153.4482458,527660,4,3.0,50
-28.0666215,-67.5665841,587,8,3.0,10
-28.0662081,117.8166739,424,7,3.0,20
-28.0195959,18.7399825,6054,7,6.0,20
-27.9999589,143.816689,203,6,3.0,30
-27.9699866,26.7299857,431944,4,3.0,50
-27.8695276,-54.4599681,59281,7,1.0,20
-27.8095829,-50.3099889,164676,7,1.0,20
-27.7833313,-64.2666563,354692,6,3.0,30
-27.7600252,30.7899963,150012,6,3.0,30
-27.6661808,114.1666642,1537,7,3.0,20
-27.6600313,27.2100081,103992,6,3.0,30
-27.6495927,-67.0332833,11359,7,3.0,20
-27.6495927,25.5900036,17122,7,3.0,20
-27.6300073,-52.2699984,96087,8,1.0,10
-27.5832918,-60.7166663,30051,8,3.0,10
-27.5780387,-48.5219664,1023000,3,1.0,110
-27.5660836,32.0833024,564,7,3.0,20
-27.5645333,151.9555204,92800,6,3.0,30
-27.4899642,-58.8099868,340823,8,3.0,10
-27.4800423,-70.2799844,12888,8,3.0,10
-27.4599918,-58.9900275,387158,6,3.0,30
-27.453085,153.0331469,1860000,3,3.0,110
-27.4495532,23.4200069,10006,7,3.0,20
